person_id,orcid_id,name_display,name_first,name_last,name_nobilary,name_suffix
s199801,0000-0003-4723-5475,Ryan Raaum,Ryan Lowell,Raaum,,
f199201,0000-0002-4062-7567,Eric Delson,Eric,Delson,,
